medicine_name,generic_name,strength,form,color,shape,marking,manufacturer,authenticity_confidence,verification_status,image_edge_count,image_color_variance,image_text_clarity,image_shape_regularity,storage_temp,humidity_max
Paracetamol,Acetaminophen,500mg,tablet,white,round,325,GSK,98.29,authentic,167,0.304,0.841,0.96,20-25°C,60%
Paracetamol,Acetaminophen,500mg,tablet,white,oval,325,Johnson & Johnson,93.13,authentic,69,0.404,0.729,0.978,20-25°C,60%
Paracetamol,Acetaminophen,500mg,tablet,white,caplet,TYLENOL,GSK,90.42,authentic,97,0.432,0.914,0.868,20-25°C,60%
Paracetamol,Acetaminophen,500mg,tablet,off-white,round,P500,Johnson & Johnson,92.43,authentic,137,0.358,0.845,0.831,20-25°C,60%
Paracetamol,Acetaminophen,500mg,tablet,off-white,oval,TYLENOL,GSK,88.88,authentic,118,0.425,0.769,0.855,20-25°C,60%
Paracetamol,Acetaminophen,500mg,tablet,off-white,caplet,TYLENOL,GSK,85.79,authentic,77,0.1,0.737,0.827,20-25°C,60%
Paracetamol,Acetaminophen,500mg,capsule,white,round,P500,GSK,92.7,authentic,179,0.207,0.939,0.895,20-25°C,60%
Paracetamol,Acetaminophen,500mg,capsule,white,oval,P500,GSK,88.81,authentic,159,0.467,0.954,0.919,20-25°C,60%
Paracetamol,Acetaminophen,500mg,capsule,white,caplet,P500,Johnson & Johnson,96.44,authentic,118,0.434,0.864,0.807,20-25°C,60%
Paracetamol,Acetaminophen,500mg,capsule,off-white,round,325,Teva,97.59,authentic,103,0.457,0.802,0.882,20-25°C,60%
Paracetamol,Acetaminophen,500mg,capsule,off-white,oval,325,Teva,96.65,authentic,77,0.462,0.762,0.826,20-25°C,60%
Paracetamol,Acetaminophen,500mg,capsule,off-white,caplet,P500,GSK,89.91,authentic,114,0.352,0.821,0.938,20-25°C,60%
Paracetamol,Acetaminophen,500mg,syrup,white,round,P500,Teva,94.67,authentic,158,0.352,0.881,0.999,20-25°C,60%
Paracetamol,Acetaminophen,500mg,syrup,white,oval,TYLENOL,Teva,87.96,authentic,173,0.23,0.883,0.807,20-25°C,60%
Paracetamol,Acetaminophen,500mg,syrup,white,caplet,325,Johnson & Johnson,86.89,authentic,178,0.196,0.752,0.843,20-25°C,60%
Paracetamol,Acetaminophen,500mg,syrup,off-white,round,TYLENOL,Johnson & Johnson,87.98,authentic,163,0.361,0.853,0.999,20-25°C,60%
Paracetamol,Acetaminophen,500mg,syrup,off-white,oval,325,Johnson & Johnson,98.45,authentic,156,0.358,0.898,0.935,20-25°C,60%
Paracetamol,Acetaminophen,500mg,syrup,off-white,caplet,P500,GSK,88.73,authentic,144,0.29,0.882,0.915,20-25°C,60%
Paracetamol,Acetaminophen,325mg,tablet,white,round,TYLENOL,Johnson & Johnson,94.32,authentic,106,0.4,0.702,0.999,20-25°C,60%
Paracetamol,Acetaminophen,325mg,tablet,white,oval,325,GSK,88.79,authentic,50,0.488,0.746,0.886,20-25°C,60%
Paracetamol,Acetaminophen,325mg,tablet,white,caplet,TYLENOL,Johnson & Johnson,88.37,authentic,66,0.276,0.879,0.958,20-25°C,60%
Paracetamol,Acetaminophen,325mg,tablet,off-white,round,325,GSK,85.09,authentic,177,0.105,0.914,0.87,20-25°C,60%
Paracetamol,Acetaminophen,325mg,tablet,off-white,oval,P500,GSK,94.56,authentic,118,0.161,0.79,0.918,20-25°C,60%
Paracetamol,Acetaminophen,325mg,tablet,off-white,caplet,TYLENOL,GSK,95.91,authentic,102,0.315,0.881,0.941,20-25°C,60%
Paracetamol,Acetaminophen,325mg,capsule,white,round,TYLENOL,Teva,88.69,authentic,69,0.155,0.879,0.918,20-25°C,60%
Paracetamol,Acetaminophen,325mg,capsule,white,oval,TYLENOL,Johnson & Johnson,97.61,authentic,156,0.355,0.911,0.927,20-25°C,60%
Paracetamol,Acetaminophen,325mg,capsule,white,caplet,P500,GSK,95.35,authentic,189,0.114,0.861,0.865,20-25°C,60%
Paracetamol,Acetaminophen,325mg,capsule,off-white,round,325,Johnson & Johnson,86.77,authentic,137,0.255,0.995,0.829,20-25°C,60%
Paracetamol,Acetaminophen,325mg,capsule,off-white,oval,325,Johnson & Johnson,90.38,authentic,147,0.222,0.884,0.905,20-25°C,60%
Paracetamol,Acetaminophen,325mg,capsule,off-white,caplet,325,Teva,97.41,authentic,118,0.446,0.978,0.96,20-25°C,60%
Paracetamol,Acetaminophen,325mg,syrup,white,round,TYLENOL,Teva,89.35,authentic,70,0.196,0.733,0.83,20-25°C,60%
Paracetamol,Acetaminophen,325mg,syrup,white,oval,325,Teva,92.56,authentic,108,0.36,0.885,0.852,20-25°C,60%
Paracetamol,Acetaminophen,325mg,syrup,white,caplet,P500,Johnson & Johnson,93.39,authentic,67,0.121,0.99,0.891,20-25°C,60%
Paracetamol,Acetaminophen,325mg,syrup,off-white,round,TYLENOL,Johnson & Johnson,95.82,authentic,56,0.309,0.861,0.958,20-25°C,60%
Paracetamol,Acetaminophen,325mg,syrup,off-white,oval,TYLENOL,GSK,96.79,authentic,192,0.115,0.85,0.896,20-25°C,60%
Paracetamol,Acetaminophen,325mg,syrup,off-white,caplet,P500,Johnson & Johnson,90.59,authentic,50,0.438,0.876,0.945,20-25°C,60%
Paracetamol,Acetaminophen,650mg,tablet,white,round,P500,Johnson & Johnson,86.91,authentic,122,0.335,0.876,0.872,20-25°C,60%
Paracetamol,Acetaminophen,650mg,tablet,white,oval,P500,Johnson & Johnson,86.45,authentic,105,0.29,0.782,0.941,20-25°C,60%
Paracetamol,Acetaminophen,650mg,tablet,white,caplet,TYLENOL,GSK,98.42,authentic,128,0.246,0.868,0.938,20-25°C,60%
Paracetamol,Acetaminophen,650mg,tablet,off-white,round,P500,GSK,89.39,authentic,187,0.299,0.808,0.991,20-25°C,60%
Paracetamol,Acetaminophen,650mg,tablet,off-white,oval,TYLENOL,Teva,92.51,authentic,155,0.362,0.94,0.835,20-25°C,60%
Paracetamol,Acetaminophen,650mg,tablet,off-white,caplet,TYLENOL,Teva,95.11,authentic,82,0.109,0.803,0.997,20-25°C,60%
Paracetamol,Acetaminophen,650mg,capsule,white,round,325,Teva,91.2,authentic,72,0.119,0.972,0.955,20-25°C,60%
Paracetamol,Acetaminophen,650mg,capsule,white,oval,P500,Johnson & Johnson,97.84,authentic,123,0.467,0.724,0.882,20-25°C,60%
Paracetamol,Acetaminophen,650mg,capsule,white,caplet,P500,Teva,91.22,authentic,182,0.206,0.782,0.94,20-25°C,60%
Paracetamol,Acetaminophen,650mg,capsule,off-white,round,TYLENOL,Johnson & Johnson,88.33,authentic,77,0.369,0.729,0.94,20-25°C,60%
Paracetamol,Acetaminophen,650mg,capsule,off-white,oval,P500,GSK,93.72,authentic,142,0.384,0.994,0.938,20-25°C,60%
Paracetamol,Acetaminophen,650mg,capsule,off-white,caplet,P500,GSK,86.23,authentic,134,0.413,0.84,0.884,20-25°C,60%
Paracetamol,Acetaminophen,650mg,syrup,white,round,325,GSK,90.99,authentic,169,0.227,0.982,0.971,20-25°C,60%
Paracetamol,Acetaminophen,650mg,syrup,white,oval,P500,Teva,97.97,authentic,167,0.132,0.887,0.977,20-25°C,60%
Paracetamol,Acetaminophen,650mg,syrup,white,caplet,P500,Teva,94.21,authentic,104,0.386,0.752,0.825,20-25°C,60%
Paracetamol,Acetaminophen,650mg,syrup,off-white,round,325,Johnson & Johnson,93.1,authentic,190,0.474,0.777,0.975,20-25°C,60%
Paracetamol,Acetaminophen,650mg,syrup,off-white,oval,P500,Teva,90.7,authentic,147,0.377,0.734,0.864,20-25°C,60%
Paracetamol,Acetaminophen,650mg,syrup,off-white,caplet,TYLENOL,Teva,91.86,authentic,133,0.292,0.92,0.846,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,tablet,white,round,81,Bayer,94.93,authentic,162,0.207,0.771,0.884,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,tablet,white,oval,81,CVS,86.03,authentic,80,0.248,0.868,0.96,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,tablet,yellow,round,325,Bayer,97.49,authentic,53,0.275,0.707,0.931,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,tablet,yellow,oval,325,CVS,95.18,authentic,175,0.248,0.829,0.908,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,tablet,pink,round,BAYER,CVS,94.02,authentic,184,0.411,0.967,0.833,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,tablet,pink,oval,BAYER,Bayer,88.51,authentic,133,0.201,0.753,0.934,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,chewable tablet,white,round,ASP,Bayer,86.29,authentic,161,0.202,0.726,0.88,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,chewable tablet,white,oval,ASP,Walgreens,90.61,authentic,143,0.146,0.777,0.92,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,chewable tablet,yellow,round,ASP,Walgreens,94.67,authentic,186,0.262,0.733,0.856,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,chewable tablet,yellow,oval,81,Bayer,89.12,authentic,182,0.294,0.773,0.849,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,chewable tablet,pink,round,325,Walgreens,93.05,authentic,165,0.294,0.909,0.824,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,chewable tablet,pink,oval,325,Walgreens,97.9,authentic,78,0.222,0.756,0.903,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,enteric-coated,white,round,81,Walgreens,92.78,authentic,74,0.225,0.771,0.814,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,enteric-coated,white,oval,ASP,Walgreens,94.1,authentic,156,0.196,0.978,0.894,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,enteric-coated,yellow,round,ASP,Bayer,86.52,authentic,182,0.379,0.944,0.959,20-25°C,60%
Aspirin,Acetylsalicylic Acid,81mg,enteric-coated,yellow,oval,ASP,Bayer,85.57,authentic,128,0.32,0.84,0.802,20-25°C,60%
